"name","sku","price","currency","image","url","category"
"Kit Upgrade Actualización Cooler Master Intel Lga 1700 Cpu","CM-603005420-GP","10988,00","ARS","https://mla-s1-p.mlstatic.com/924601-MLA92920801843_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/kit-upgrade-actualizacion-cooler-master-intel-lga-1700-cpu-158605.html","coolers"
"Cooler Cooler Master Sickleflow Edge 120 Argb White","CM-SICKLEFLOWEDGE120ARGB-WH","28761,00","ARS","https://mla-s1-p.mlstatic.com/854027-MLA92512096024_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cooler-master-sickleflow-edge-120-argb-white-198313.html","coolers"
"Cpu Cooler Thermaltake Cl-p146-ca13sw-aux150 Argb - Negro","CL-P146-CA13SW-A","33396,00","ARS","https://mla-s1-p.mlstatic.com/982528-MLA96526938649_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-thermaltake-cl-p146-ca13sw-aux150-argb-negro-200845.html","coolers"
"Cooler Cpu Thermaltake INTEL Ux150-l Argb Intel Cl-p147-ca13sw-a","CL-P147-CA13SW-A","39763,00","ARS","https://mla-s1-p.mlstatic.com/845249-MLA96519645655_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-thermaltake-intel-ux150-l-argb-intel-cl-p147-ca13sw-a-200848.html","coolers"
"Cooler Cpu Xyz Thermax 4 White Vortex Argb Fan Pwm Control","XYZ-THERMAX4-WH","41322,00","ARS","https://mla-s1-p.mlstatic.com/602773-MLA92473567924_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-xyz-thermax-4-white-vortex-argb-fan-pwm-control-198219.html","coolers"
"Cooler Cpu Aerocool Core Plus A Rgb Intel Amd Am4 1151 Am3","AEROCOOLCOREPLUSARGBPMW4P","41871,00","ARS","https://mla-s1-p.mlstatic.com/776255-MLA92471894248_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-aerocool-core-plus-a-rgb-intel-amd-am4-1151-am3-68039.html","coolers"
"Cpu Cooler Thermaltake Ux200 Argb 43.34 Cfm 26 Dba Acuario","THERMALTAKEUX200-ARGB","44874,00","ARS","https://mla-s1-p.mlstatic.com/617196-MLA92484117760_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-thermaltake-ux200-argb-43.34-cfm-26-dba-acuario-71253.html","coolers"
"Enfriador Thermaltake Ux500 Argb Negro Con 1 Ventilador Cl-p - Plateado","CL-P144-AL12SW-A","47170,00","ARS","https://mla-s1-p.mlstatic.com/742941-MLA96519647747_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/enfriador-thermaltake-ux500-argb-negro-con-1-ventilador-cl-p-plateado-200850.html","coolers"
"Disipador Cpu Por Aire Intel Amd- Thermaltake Ux200 Se Argb","TT-CL-P105-AL12SW-A","48960,00","ARS","https://mla-s1-p.mlstatic.com/863387-MLA96518277929_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/disipador-cpu-por-aire-intel-amd--thermaltake-ux200-se-argb-194803.html","coolers"
"Cooler Cpu Xyz Thermax 6 White Argb Vortex Argb Fan Pwm Cont","XYZ-VORTEX-6-WH","49913,00","ARS","https://mla-s1-p.mlstatic.com/696164-MLA92438778028_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-xyz-thermax-6-white-argb-vortex-argb-fan-pwm-cont-198223.html","coolers"
"Cooler Cpu Cooler Master Hyper 212 Argb Intel Amd C/ Control","COOLMASTHYPER212ARGB","50924,00","ARS","https://mla-s1-p.mlstatic.com/601691-MLA92514690552_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-cooler-master-hyper-212-argb-intel-amd-c--control-159088.html","coolers"
"Disipador Cpu Por Aire Intel Amd- Thermaltake Ux200 Se Argb","TT-CL-P116-AL12SW-A","51357,00","ARS","https://mla-s1-p.mlstatic.com/825340-MLA96078740856_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/disipador-cpu-por-aire-intel-amd--thermaltake-ux200-se-argb-194804.html","coolers"
"Cooler Thermaltake Ux500 Argb Blanco Con 1 Ventilador Cl-p14 - Blanco","CL-P145-AL12SW-A","53061,00","ARS","https://mla-s1-p.mlstatic.com/684335-MLA96511572915_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-thermaltake-ux500-argb-blanco-con-1-ventilador-cl-p14-blanco-200761.html","coolers"
"Cooler Cpu Xyz Thermax 6 Pulsar White Custom, Display Temp","XYZ-THERMAKX6PULSAR-WH","59471,00","ARS","https://mla-s1-p.mlstatic.com/782846-MLA92444018176_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-xyz-thermax-6-pulsar-white-custom-display-temp-198231.html","coolers"
"Kit Coolers Corsair Rs120 3x 120mm X 25mm 2100rpm Pwm 4pin Blanco","CO-9050193-WW","64582,00","ARS","https://mla-s1-p.mlstatic.com/763483-MLA110935846796_052026-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/kit-coolers-corsair-rs120-3x-120mm-x-25mm-2100rpm-pwm-4pin-blanco-205248.html","coolers"
"Cpu Cooler Cougar Gaming Forza 50 Argb Mhp 120 120 Negro","3MFZR50.0001","66286,00","ARS","https://mla-s1-p.mlstatic.com/852679-MLA99877181051_112025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-cougar-gaming-forza-50-argb-mhp-120-120-negro-202732.html","coolers"
"Cooler Cpu Thermaltake Astria 200 Argb Tdp 210w Color Blanco","CL-P137-AL12SW-A","69982,00","ARS","https://mla-s1-p.mlstatic.com/869063-MLA96069318360_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-thermaltake-astria-200-argb-tdp-210w-color-blanco-200763.html","coolers"
"Cooler Cpu Astria 200 Argb Black Thermaltake Led Negro","CL-P119-AL12S","71599,00","ARS","https://mla-s1-p.mlstatic.com/606645-MLA82067152933_012025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-astria-200-argb-black-thermaltake-led-negro-196320.html","coolers"
"Cpu Cooler Xyz Thermax 6 Duo White Argb 2x Pwm Fans","XYZ-THERMAX6DUO-WH","80248,00","ARS","https://mla-s1-p.mlstatic.com/918855-MLA92895615085_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-xyz-thermax-6-duo-white-argb-2x-pwm-fans-198227.html","coolers"
"Cpu Cooler Aerocool Rave 3 Argb Lga1200 Am4 Am3 Am2 120mm","AEROCOOLRAVE3","80291,00","ARS","https://mla-s1-p.mlstatic.com/630523-MLA92473223024_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-aerocool-rave-3-argb-lga1200-am4-am3-am2-120mm-159316.html","coolers"
"Cpu Cooler Aerocool Rave 4 Argb Amd Intel Rgb 120mm Acuario","AEROCOOLRAVE4","87640,00","ARS","https://mla-s1-p.mlstatic.com/681519-MLA92889660669_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler--aerocool-rave-4-argb-amd-intel-rgb-120mm-acuario-159317.html","coolers"
"Cpu Cooler Xyz Thermax 6 Duo Argb 2x Pwm Fans Amd Intel","XYZ-THERMAX6DUO-BK","90037,00","ARS","https://mla-s1-p.mlstatic.com/637575-MLA92846692981_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-xyz-thermax-6-duo-argb-2x-pwm-fans-amd-intel-198228.html","coolers"
"Disipador Cooler Cpu Thermaltake Astria 400 White 160mm Tdp","CL-P138-CA12SW-A","97097,00","ARS","https://mla-s1-p.mlstatic.com/973183-MLA96513645395_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/disipador-cooler-cpu-thermaltake-astria-400-white-160mm-tdp-200764.html","coolers"
"Cooler Thermaltake Ct120 Ex Argb Sync Magforce 2.0 Negro X3","CL-F181-PL12SW-A","101977,00","ARS","https://mla-s1-p.mlstatic.com/747118-MLA82133291959_012025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-thermaltake-ct120-ex-argb-sync-magforce-2.0-negro-x3-196333.html","coolers"
"Enfriador De Aire Cougar Gaming Forza 85 Argb Mhp 120","3MFZR85.0001","105183,00","ARS","https://mla-s1-p.mlstatic.com/849716-MLU74361189086_022024-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/enfriador-de-aire-cougar-gaming-forza-85-argb-mhp-120-202735.html","coolers"
"Cooler Thermaltake Ct120 Ex Argb Sync Magforce 2.0 Blanco X3","CL-F190-PL12SW-A","107074,00","ARS","https://mla-s1-p.mlstatic.com/975004-MLA96079413852_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-thermaltake-ct120-ex-argb-sync-magforce-20-blanco-x3-200853.html","coolers"
"Ventiladores De Refrigeración Thermaltake Ct120 Ex Argb Sync - Pink","CL-F219-PL12PK-A","109052,00","ARS","https://mla-s1-p.mlstatic.com/667659-MLA96527790031_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/ventiladores-de-refrigeracion-thermaltake-ct120-ex-argb-sync-pink-200857.html","coolers"
"Cpu Cooler Thermax 6 Duo Pro 2xpwm Fans Real Time Monitoring","XYZ-THERMAK6PRODUO-BK","109139,00","ARS","https://mla-s1-p.mlstatic.com/647276-MLA92491026500_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-thermax-6-duo-pro-2xpwm-fans-real-time-monitoring-198234.html","coolers"
"Ventilador De Enfriamiento Thermaltake Ct140 Ex Argb Blanco - Blanco","CL-F195-PL14SW-A","111420,00","ARS","https://mla-s1-p.mlstatic.com/818152-MLA96078723978_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/ventilador-de-enfriamiento-thermaltake-ct140-ex-argb-blanco-blanco-200863.html","coolers"
"Ventilador De Refrigeración Thermaltake Ct120 Ex Argb Sync - Bumblebee","CL-F215-PL12BB-A","111535,00","ARS","https://mla-s1-p.mlstatic.com/866916-MLA96527561201_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/ventilador-de-refrigeracion-thermaltake-ct120-ex-argb-sync-bumblebee-200856.html","coolers"
