"name","sku","price","currency","image","url","availability"
"Kit Upgrade ActualizaciÃ³n Cooler Master Intel Lga 1700 Cpu","CM-603005420-GP","10988.00","ARS","https://mla-s1-p.mlstatic.com/924601-MLA92920801843_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/kit-upgrade-actualizacion-cooler-master-intel-lga-1700-cpu-158605.html","InStock"
"Pasta TÃ©rmica Tt Thermaltake Grasa Tg7 4g - Cl-o004-grosgm-a - Haze Crush Silver","CL-O004-GROSGM-A","19261.00","ARS","https://mla-s1-p.mlstatic.com/687814-MLA93499224431_092025-AB.jpg","https://insumosacuario.com.ar/hardware/pasta-termica/pasta-termica-tt-thermaltake-grasa-tg7-4g-cl-o004-grosgm-a-haze-crush-silver-200865.html","InStock"
"Pasta Termica Thermal Grease Cooler Master Cryofuze 5 - Red","CM-CRYOFUZE5RED","19954.00","ARS","https://mla-s1-p.mlstatic.com/757962-MLA92474523062_092025-AB.jpg","https://insumosacuario.com.ar/hardware/pasta-termica/pasta-termica-thermal-grease-cooler-master-cryofuze-5-red-193275.html","InStock"
"Pasta Termica Corsair (ct-9010015-ww) Xtm60 Color Negro","CT-9010015-W","23448.00","ARS","https://mla-s1-p.mlstatic.com/913408-MLA92467894680_092025-AB.jpg","https://insumosacuario.com.ar/hardware/pasta-termica/pasta-termica-corsair-ct-9010015-ww-xtm60-color-negro-197706.html","InStock"
"Grasa Termica Cooler Master Cryofuze 7 4gr","MGZ-NDSG-N04G-R1","26754.00","ARS","https://mla-s1-p.mlstatic.com/823041-MLA92932579435_092025-AB.jpg","https://insumosacuario.com.ar/hardware/pasta-termica/grasa-termica-cooler-master-cryofuze-7-4gr-199135.html","InStock"
"Cooler Cooler Master Sickleflow Edge 120 Argb White","CM-SICKLEFLOWEDGE120ARGB-WH","28761.00","ARS","https://mla-s1-p.mlstatic.com/854027-MLA92512096024_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cooler-master-sickleflow-edge-120-argb-white-198313.html","InStock"
"Cpu Cooler Thermaltake Cl-p146-ca13sw-aux150 Argb - Negro","CL-P146-CA13SW-A","33396.00","ARS","https://mla-s1-p.mlstatic.com/982528-MLA96526938649_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cpu-cooler-thermaltake-cl-p146-ca13sw-aux150-argb-negro-200845.html","InStock"
"Gabinete Gamer Naxido X500 Rgb Negro Atx - Sin Coolers","NAXIDO-X500BK","34493.00","ARS","https://mla-s1-p.mlstatic.com/799896-MLA92897871645_092025-AB.jpg","https://insumosacuario.com.ar/hardware/gabinetes/gabinete-gamer-naxido-x500-rgb-negro-atx---sin-coolers-164549.html","InStock"
"Cooler Cpu Thermaltake INTEL Ux150-l Argb Intel Cl-p147-ca13sw-a","CL-P147-CA13SW-A","39763.00","ARS","https://mla-s1-p.mlstatic.com/845249-MLA96519645655_102025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-thermaltake-intel-ux150-l-argb-intel-cl-p147-ca13sw-a-200848.html","InStock"
"Cooler Cpu Xyz Thermax 4 White Vortex Argb Fan Pwm Control","XYZ-THERMAX4-WH","41322.00","ARS","https://mla-s1-p.mlstatic.com/602773-MLA92473567924_092025-AB.jpg","https://insumosacuario.com.ar/hardware/coolers/cooler-cpu-xyz-thermax-4-white-vortex-argb-fan-pwm-control-198219.html","InStock"
