"sku","nombre","precio","marca","categoria","stock","tipo_venta","descripcion","imagenes","fuente_origen"
"CM-603005420-GP","Kit Upgrade Actualización Cooler Master Intel Lga 1700 Cpu","10988.00","insumosacuario","accesorios","10","directa","Kit Upgrade Actualización Cooler Master Intel Lga 1700 Cpu","https://mla-s1-p.mlstatic.com/924601-MLA92920801843_092025-AB.jpg","scraping"
"CM-SICKLEFLOWEDGE120ARGB-WH","Cooler Cooler Master Sickleflow Edge 120 Argb White","28761.00","insumosacuario","accesorios","10","directa","Cooler Cooler Master Sickleflow Edge 120 Argb White","https://mla-s1-p.mlstatic.com/854027-MLA92512096024_092025-AB.jpg","scraping"
"CL-P146-CA13SW-A","Cpu Cooler Thermaltake Cl-p146-ca13sw-aux150 Argb - Negro","33396.00","insumosacuario","accesorios","10","directa","Cpu Cooler Thermaltake Cl-p146-ca13sw-aux150 Argb - Negro","https://mla-s1-p.mlstatic.com/982528-MLA96526938649_102025-AB.jpg","scraping"
"CL-P147-CA13SW-A","Cooler Cpu Thermaltake INTEL Ux150-l Argb Intel Cl-p147-ca13sw-a","39763.00","insumosacuario","accesorios","10","directa","Cooler Cpu Thermaltake INTEL Ux150-l Argb Intel Cl-p147-ca13sw-a","https://mla-s1-p.mlstatic.com/845249-MLA96519645655_102025-AB.jpg","scraping"
"XYZ-THERMAX4-WH","Cooler Cpu Xyz Thermax 4 White Vortex Argb Fan Pwm Control","41322.00","insumosacuario","accesorios","10","directa","Cooler Cpu Xyz Thermax 4 White Vortex Argb Fan Pwm Control","https://mla-s1-p.mlstatic.com/602773-MLA92473567924_092025-AB.jpg","scraping"
"AEROCOOLCOREPLUSARGBPMW4P","Cooler Cpu Aerocool Core Plus A Rgb Intel Amd Am4 1151 Am3","41871.00","insumosacuario","accesorios","10","directa","Cooler Cpu Aerocool Core Plus A Rgb Intel Amd Am4 1151 Am3","https://mla-s1-p.mlstatic.com/776255-MLA92471894248_092025-AB.jpg","scraping"
"THERMALTAKEUX200-ARGB","Cpu Cooler Thermaltake Ux200 Argb 43.34 Cfm 26 Dba Acuario","44874.00","insumosacuario","accesorios","10","directa","Cpu Cooler Thermaltake Ux200 Argb 43.34 Cfm 26 Dba Acuario","https://mla-s1-p.mlstatic.com/617196-MLA92484117760_092025-AB.jpg","scraping"
"CL-P144-AL12SW-A","Enfriador Thermaltake Ux500 Argb Negro Con 1 Ventilador Cl-p - Plateado","47170.00","insumosacuario","accesorios","10","directa","Enfriador Thermaltake Ux500 Argb Negro Con 1 Ventilador Cl-p - Plateado","https://mla-s1-p.mlstatic.com/742941-MLA96519647747_102025-AB.jpg","scraping"
"TT-CL-P105-AL12SW-A","Disipador Cpu Por Aire Intel Amd- Thermaltake Ux200 Se Argb","48960.00","insumosacuario","accesorios","10","directa","Disipador Cpu Por Aire Intel Amd- Thermaltake Ux200 Se Argb","https://mla-s1-p.mlstatic.com/863387-MLA96518277929_102025-AB.jpg","scraping"
"XYZ-VORTEX-6-WH","Cooler Cpu Xyz Thermax 6 White Argb Vortex Argb Fan Pwm Cont","49913.00","insumosacuario","accesorios","10","directa","Cooler Cpu Xyz Thermax 6 White Argb Vortex Argb Fan Pwm Cont","https://mla-s1-p.mlstatic.com/696164-MLA92438778028_092025-AB.jpg","scraping"
"COOLMASTHYPER212ARGB","Cooler Cpu Cooler Master Hyper 212 Argb Intel Amd C/ Control","50924.00","insumosacuario","accesorios","10","directa","Cooler Cpu Cooler Master Hyper 212 Argb Intel Amd C/ Control","https://mla-s1-p.mlstatic.com/601691-MLA92514690552_092025-AB.jpg","scraping"
"TT-CL-P116-AL12SW-A","Disipador Cpu Por Aire Intel Amd- Thermaltake Ux200 Se Argb","51357.00","insumosacuario","accesorios","10","directa","Disipador Cpu Por Aire Intel Amd- Thermaltake Ux200 Se Argb","https://mla-s1-p.mlstatic.com/825340-MLA96078740856_102025-AB.jpg","scraping"
"CL-P145-AL12SW-A","Cooler Thermaltake Ux500 Argb Blanco Con 1 Ventilador Cl-p14 - Blanco","53061.00","insumosacuario","accesorios","10","directa","Cooler Thermaltake Ux500 Argb Blanco Con 1 Ventilador Cl-p14 - Blanco","https://mla-s1-p.mlstatic.com/684335-MLA96511572915_102025-AB.jpg","scraping"
"XYZ-THERMAKX6PULSAR-WH","Cooler Cpu Xyz Thermax 6 Pulsar White Custom, Display Temp","59471.00","insumosacuario","accesorios","10","directa","Cooler Cpu Xyz Thermax 6 Pulsar White Custom, Display Temp","https://mla-s1-p.mlstatic.com/782846-MLA92444018176_092025-AB.jpg","scraping"
"CO-9050193-WW","Kit Coolers Corsair Rs120 3x 120mm X 25mm 2100rpm Pwm 4pin Blanco","64582.00","insumosacuario","accesorios","10","directa","Kit Coolers Corsair Rs120 3x 120mm X 25mm 2100rpm Pwm 4pin Blanco","https://mla-s1-p.mlstatic.com/763483-MLA110935846796_052026-AB.jpg","scraping"
"3MFZR50.0001","Cpu Cooler Cougar Gaming Forza 50 Argb Mhp 120 120 Negro","66286.00","insumosacuario","accesorios","10","directa","Cpu Cooler Cougar Gaming Forza 50 Argb Mhp 120 120 Negro","https://mla-s1-p.mlstatic.com/852679-MLA99877181051_112025-AB.jpg","scraping"
"CL-P137-AL12SW-A","Cooler Cpu Thermaltake Astria 200 Argb Tdp 210w Color Blanco","69982.00","insumosacuario","accesorios","10","directa","Cooler Cpu Thermaltake Astria 200 Argb Tdp 210w Color Blanco","https://mla-s1-p.mlstatic.com/869063-MLA96069318360_102025-AB.jpg","scraping"
"CL-P119-AL12S","Cooler Cpu Astria 200 Argb Black Thermaltake Led Negro","71599.00","insumosacuario","accesorios","10","directa","Cooler Cpu Astria 200 Argb Black Thermaltake Led Negro","https://mla-s1-p.mlstatic.com/606645-MLA82067152933_012025-AB.jpg","scraping"
"XYZ-THERMAX6DUO-WH","Cpu Cooler Xyz Thermax 6 Duo White Argb 2x Pwm Fans","80248.00","insumosacuario","accesorios","10","directa","Cpu Cooler Xyz Thermax 6 Duo White Argb 2x Pwm Fans","https://mla-s1-p.mlstatic.com/918855-MLA92895615085_092025-AB.jpg","scraping"
"AEROCOOLRAVE3","Cpu Cooler Aerocool Rave 3 Argb Lga1200 Am4 Am3 Am2 120mm","80291.00","insumosacuario","accesorios","10","directa","Cpu Cooler Aerocool Rave 3 Argb Lga1200 Am4 Am3 Am2 120mm","https://mla-s1-p.mlstatic.com/630523-MLA92473223024_092025-AB.jpg","scraping"
"AEROCOOLRAVE4","Cpu Cooler Aerocool Rave 4 Argb Amd Intel Rgb 120mm Acuario","87640.00","insumosacuario","accesorios","10","directa","Cpu Cooler Aerocool Rave 4 Argb Amd Intel Rgb 120mm Acuario","https://mla-s1-p.mlstatic.com/681519-MLA92889660669_092025-AB.jpg","scraping"
"XYZ-THERMAX6DUO-BK","Cpu Cooler Xyz Thermax 6 Duo Argb 2x Pwm Fans Amd Intel","90037.00","insumosacuario","accesorios","10","directa","Cpu Cooler Xyz Thermax 6 Duo Argb 2x Pwm Fans Amd Intel","https://mla-s1-p.mlstatic.com/637575-MLA92846692981_092025-AB.jpg","scraping"
"CL-P138-CA12SW-A","Disipador Cooler Cpu Thermaltake Astria 400 White 160mm Tdp","97097.00","insumosacuario","accesorios","10","directa","Disipador Cooler Cpu Thermaltake Astria 400 White 160mm Tdp","https://mla-s1-p.mlstatic.com/973183-MLA96513645395_102025-AB.jpg","scraping"
"CL-F181-PL12SW-A","Cooler Thermaltake Ct120 Ex Argb Sync Magforce 2.0 Negro X3","101977.00","insumosacuario","accesorios","10","directa","Cooler Thermaltake Ct120 Ex Argb Sync Magforce 2.0 Negro X3","https://mla-s1-p.mlstatic.com/747118-MLA82133291959_012025-AB.jpg","scraping"
"3MFZR85.0001","Enfriador De Aire Cougar Gaming Forza 85 Argb Mhp 120","105183.00","insumosacuario","accesorios","10","directa","Enfriador De Aire Cougar Gaming Forza 85 Argb Mhp 120","https://mla-s1-p.mlstatic.com/849716-MLU74361189086_022024-AB.jpg","scraping"
"CL-F190-PL12SW-A","Cooler Thermaltake Ct120 Ex Argb Sync Magforce 2.0 Blanco X3","107074.00","insumosacuario","accesorios","10","directa","Cooler Thermaltake Ct120 Ex Argb Sync Magforce 2.0 Blanco X3","https://mla-s1-p.mlstatic.com/975004-MLA96079413852_102025-AB.jpg","scraping"
"CL-F219-PL12PK-A","Ventiladores De Refrigeración Thermaltake Ct120 Ex Argb Sync - Pink","109052.00","insumosacuario","accesorios","10","directa","Ventiladores De Refrigeración Thermaltake Ct120 Ex Argb Sync - Pink","https://mla-s1-p.mlstatic.com/667659-MLA96527790031_102025-AB.jpg","scraping"
